Respondent_ID,"Your affiliation with institute?
(batch or program, in case of students)",Which area(s)/field(s) are you interested in?,How many merch do you buy per year?,Which type of merchandise are you most interested in purchasing?,What theme or concept should the merch design revolve around?,"If you could only buy one item of merch next semester, which specific product would it be?",Is there an item you’ve always wanted to see in IISERM but no club/community has ever released?,Which material/fabric do you prefer for apparel items (T-shirts/Hoodies)?,Please rate the importance of the following design elements for the apparel: [Subtle/Small Design],Please rate the importance of the following design elements for the apparel: [Bold/Large Design],Please rate the importance of the following design elements for the apparel: [Inclusion of 'IISER Mohali' or related logo],Please rate the importance of the following design elements for the apparel: [Inclusion of Club/Event or related logo],Please rate the importance of the following design elements for the apparel: [Hero design (main) on the front (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Any design on the front (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Hero design (main) on the back (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Any design on the back (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Design on the sleeve (in case of clothing)],What specific size range are you most likely to purchase for apparel (T-shirts/Hoodies)?,"What is the price you would be willing to pay for a ""good"" Sweatshirt?","What apparel/clothing do you look for other than conventional T-shirts, hoodies, and sweatshirts as merch?",What would you prefer carrying your laptop in?,Which color scheme do you prefer for the merchandise?,What desk/stationary item do you suggest?,What tech accessory do you suggest?,What Turing-specific plushie(s) do you prefer?,What plushie(s) in-general do you prefer?,What matters the most when buying a merch? [The club or community releasing the merch],What matters the most when buying a merch? [The merch design and aesthetic],What matters the most when buying a merch? [The merch functionality],What matters the most when buying a merch? [Quality of Item/Material],What matters the most when buying a merch? [Uniqueness (Limited Edition)],What matters the most when buying a merch? [Your requirement for that specific item],What matters the most when buying a merch? [Your budget],Will you buy any merch blindly of a particular IISERM club/community?,Describe your Turing-specific merch design idea.,Describe your in-general merch design idea.,"If you have a design sketch, link to a file, or visual reference(pinterest, etc.), please upload it here.",In what context have you responded to the above questions more or less?,Anything else you consider mentioning or adding?,Data Release & Privacy Consent
5ZOV,MS25,Physics;Math,2.0,Hoodies/Sweatshirts;Jackets (Full Zip);Caps;Plushies;Coffee Mugs,Some Historic Figure;Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics,Hoodie,,No strong preference,Preferred,Preferred,Highly Preferred,Preferred,Preferred,Preferred,Highly Preferred,Highly Preferred,Not Preferred,S (Small),200 - 400 INR,,Backpack,"Club-specific Colors (e.g., specific shades associated with the club)",Pen stand,RAM,Linux penguin,,Maybe/Sometimes,Absolutely/Of course,High Priority,High Priority,Maybe/Sometimes,Maybe/Sometimes,Absolutely/Of course,No,,,,In-general,,I agree
KTQG,MS25,Biology;Physics;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Caps;Stickers,"Some Historic Figure;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics",T-shirt,Polo/ Five-Sleeve T-shirt,100% Cotton,Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Preferred,L (Large);XL (Extra Large),800 - 1000 INR,relaxed fit,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club)",pen-stand,mouse-pad,,,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,High Priority,No,,,,In-general,,I agree
200R,MS25,Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip),IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch),T shirt - with IISER M logo/theam in front and back,Backpack ,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Not Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,M (Medium);L (Large),200 - 400 INR,"T shirt , boxy fit",Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow)",Pens and pencils ,"Extension cables , adapters and charging cables ",,,Low Priority,Maybe/Sometimes,Maybe/Sometimes,Maybe/Sometimes,Maybe/Sometimes,Maybe/Sometimes,Maybe/Sometimes,No,,,,In-general,,I agree
XY3Q,MS25,Biology;Chemistry;EES,3.0,T-Shirts (Half Sleeve);Stickers,"Some Historic Figure;Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Minimalist/Abstract Computational Graphics",Tshirt ,,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Not Preferred,Preferred,Highly Preferred,Preferred,Highly Preferred,Preferred,Preferred,Preferred,Highly Preferred,M (Medium);L (Large),600 - 800 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige)",∅,∅,,,High Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,High Priority,No,,,,In-general,,I agree
09HR,MS23,Physics,3.0,Jackets (Full Zip);Laptop Bags;Laptop Sleeve;Rubber Ducks,Some Historic Figure;IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch);Do not make the merch take it granted or for just fun. It represents our institute so be mindful and accurate without informal jokes & FUN.,Laptop case and bag.,,100% Cotton,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Not Preferred,Preferred,Preferred,L (Large),400 - 600 INR,,Backpack;Handbag (similar to suitcase),"Light (e.g., White, Light Gray, Beige);Bright/Vibrant (e.g., Royal Blue, Red, Yellow)",Pen stand,Digital clock,,,High Priority,High Priority,Absolutely/Of course,High Priority,Maybe/Sometimes,High Priority,Maybe/Sometimes,No,,,,In-general,"All T shirts and hoodies focus on the main design at back only. Please start the tradition of some normal front specific design (like normal Tshirt) also. Some back designs for style is fine but NOT ALWAYS.  Change this tradition in IISER-M
Do not just provide black and white shades of clothes usually, try to go more colourful in other bright and light colours. It is good to see that slowly it goes in this direction",I agree
HDBI,MS24,Physics,5.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip),IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun,tshirt or jacket ,a jersey tshirt,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Preferred,Not Preferred,Preferred,Not Preferred,Not Preferred,Highly Preferred,Preferred,Not Preferred,XS (Extra Small);S (Small);M (Medium),600 - 800 INR,baggy fit ,Backpack;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club)","notepads , sticky notes ",powerbanks ,,"tortoise, rabbit",Absolutely/Of course,High Priority,Maybe/Sometimes,High Priority,Maybe/Sometimes,Maybe/Sometimes,Maybe/Sometimes,Yes,,,,In-general,,I agree
XGHV,MS25,,,"Stickers;Laptop Bags;Laptop Sleeve;Rubber Ducks;Plushies;Coffee Mugs;Desk figurines, Posters, Room decor","Computer or Tech related Logos or Mascots (penguin, arch, etc.);Small Club Logo (For the sake of Merch)",Laptop Bag/sleeve/stickers related to the tech logos(specifically arch btw),plushies/desk figurines/posters,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Preferred,Not Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Not Preferred,M (Medium);L (Large),600 - 800 INR,loose fit,Backpack;Laptop Sleeve;Handbag (similar to suitcase),"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Mix and Match (Different colors for different items)","Phone holders, desk figurines, Pen stands, etc",Power banks(easily customisable for merch),A penguin ofc,cute and cuddly,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,High Priority,Maybe/Sometimes,Maybe/Sometimes,Absolutely/Of course,No,"""I use Arch btw"" merch 🙏🏻","If possible for gaming club, hollow knight/nine sols plushies, sekiro/souls or other games posters for room decor",https://drive.google.com/u/5/open?usp=forms_web&id=1JCe7O0GmLvUqSpTZY60Cz24v1FwNYZBr;https://drive.google.com/u/5/open?usp=forms_web&id=1fmObEPSYHq4eR3NGsPODCGGIvoOTwgtL,In-general,,I agree
7WRQ,MS25,Physics,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Caps;Stickers;Laptop Bags;Laptop Sleeve;Coffee Mugs,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun",T shirt ,,100% Cotton,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,M (Medium);L (Large);XL (Extra Large),200 - 400 INR,,Backpack;Laptop Sleeve;Cross-body Bag;Handbag (similar to suitcase),"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",Coffee mug ,Laptop bag,,,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,,,,,In-general,,I agree
RVUX,MS24,Biology;Math,1.0,Stickers;Laptop Bags;Plushies;Coffee Mugs;Socks,Some Historic Figure;Some Computational Idea;Minimalist/Abstract Computational Graphics;Funny/Witty Computational Pun,Socks,Socks,100% Cotton,Preferred,Preferred,Preferred,Highly Preferred,Not Preferred,Not Preferred,Not Preferred,Not Preferred,Highly Preferred,M (Medium);L (Large),600 - 800 INR,,Backpack;Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club)",Pouches/organizers,Mouse,,Capybara,Not at all,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Not at all,Maybe/Sometimes,Low Priority,No,,,,In-general,,I agree
16SP,MS25,,2.0,T-Shirts (Half Sleeve);Jackets (Full Zip),Inside Jokes/IISERM Niche;Funny/Witty Computational Pun,Tshirt,Hand towel,"100% Cotton;Performance/Quick-Dry Fabric (e.g., Polyester)",Highly Preferred,Not Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,L (Large);XL (Extra Large),600 - 800 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Mix and Match (Different colors for different items)",Coaster/Dustdin/Pen stand,Nil,,,Low Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,No,,,,In-general,,I agree
GS80,MS23,Math,,Jackets (Full Zip);Laptop Bags;Laptop Sleeve,Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Funny/Witty Computational Pun,Laptop bag,,100% Cotton,Preferred,Highly Preferred,Preferred,Not Preferred,Not Preferred,Preferred,Preferred,Highly Preferred,Highly Preferred,M (Medium),400 - 600 INR,,Cross-body Bag;Handbag (similar to suitcase),"Light (e.g., White, Light Gray, Beige);Mix and Match (Different colors for different items)",Laptop bag,Portable hand fan,,,Low Priority,Absolutely/Of course,High Priority,Absolutely/Of course,High Priority,Low Priority,High Priority,No,,,,In-general,,I agree
2KXH,MS24,Physics,0.0,T-Shirts (Half Sleeve);Jackets (Full Zip);Caps;Stickers;Laptop Bags;Plushies;notebooks,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Inside Jokes/IISERM Niche;Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun",kachha,water tattoos,100% Cotton,Preferred,Not Preferred,Preferred,Preferred,Not Preferred,Preferred,Not Preferred,Preferred,Preferred,M (Medium),600 - 800 INR,flag,Backpack,"Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",Notebook,keyboard,penguin lol,some inside joke or smth,Maybe/Sometimes,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,No,,,,In-general,,I agree
MQP1,MS25,Biology,3.0,T-Shirts (Half Sleeve);Jackets (Full Zip);Stickers;Plushies;Coffee Mugs,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Small Club Logo (For the sake of Merch)",Pins & stickers,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Preferred,Highly Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Preferred,Preferred,S (Small);M (Medium),600 - 800 INR,"boxy fit t-shirts, Hoodies with zipper and pockets",Cross-body Bag,"Light (e.g., White, Light Gray, Beige)","Pens, ","Wired earphones, Mobile phone cases, earbud cases",Nerdy teddy bear with a laptop and glasses,animals,Maybe/Sometimes,Absolutely/Of course,High Priority,High Priority,Low Priority,High Priority,Absolutely/Of course,No,,,,In-general,,I agree
MN5I,MS25,Biology,3.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Caps;Rubber Ducks,Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Funny/Witty Computational Pun,Hoodie,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Highly Preferred,Highly Preferred,Not Preferred,Not Preferred,Not Preferred,Highly Preferred,Preferred,Highly Preferred,XS (Extra Small);S (Small),800 - 1000 INR,,Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow)","pins, pen stand, ","phone cover, club themed wired earphones",,,Not at all,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Low Priority,Low Priority,No,,,,In-general,,I agree
T5WJ,MS23,Physics;Math,2.0,T-Shirts (Half Sleeve);Jackets (Full Zip);Caps;Laptop Sleeve;Rubber Ducks;Plushies,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch)",Cap,"Cap, Laptop Sleeves",No strong preference,Preferred,Highly Preferred,Not Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,M (Medium),800 - 1000 INR,Oversized and baggy fits ,Laptop Sleeve;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow)","Journals, Mousepads, Keychains",NIL,"Duck, tux, gnu logo",Penguins ,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Not at all,High Priority,Absolutely/Of course,Yes,"a zip up jacket with some design element at the back. the design element doesn't have to be the turing logo in my opinion, it can just be some abstract art. maybe a subtle turing logo at the front of below the collar would be good. i would prefer having a dark theme based color palette. Please check https://pin.it/15xYD3yt0",,,Turing-specific,,I agree
BVMU,MS25,Biology;Chemistry,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Stickers;tote bags,IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Funny/Witty Computational Pun,tee,keychains,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Not Preferred,Highly Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Preferred,Not Preferred,XL (Extra Large),400 - 600 INR,Some kind of co-ord sets. Also oversized and baggy fits are preferred.,Backpack,pastel palette ,customised pencil pouches,customised headphones probably,,,Maybe/Sometimes,Absolutely/Of course,High Priority,Maybe/Sometimes,Maybe/Sometimes,High Priority,Absolutely/Of course,No,,,,In-general,,I agree
4BRC,MS25,Biology;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Plushies;Coffee Mugs;Keychain,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch)",Turing Mechanical key cap keychain,Turing Mechanical key cap keychain,100% Cotton,Preferred,Highly Preferred,Not Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,M (Medium),800 - 1000 INR,"Oversized Tees, Printed Denims",Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club)",Mousepad,,,,High Priority,Absolutely/Of course,Maybe/Sometimes,High Priority,Maybe/Sometimes,Low Priority,Maybe/Sometimes,Yes,no,no,,Turing-specific,,I agree
WN9B,MS25,Biology;EES,0.0,Hoodies/Sweatshirts;Jackets (Full Zip),IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche,Hoodie,Plushie and Keychain ,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Not Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,M (Medium),400 - 600 INR,Drop shoulder ,Backpack;Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray)",Table organiser,,,,High Priority,High Priority,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,High Priority,No,,,,In-general,,I agree
